sen	line	x	36623	
shiritsu	municipal	x	10268	xx may be 'private' also
gawa	river	x	10155	xx also 'near', 'skin'
no	plain	x	9825	xx also 'field'
sho	various		9370	
gou	number	x	8151	xx could be removed during translation
shougakkou	primary school	x	7585	
$dai	title		7541	
choume	district	x	7400	
kyoku	office	x	7007	xx also 'song'
$machi	town		6749	xx also block, neighborhood, street, road
$kouen	lecture		6726	xx also park, address
kokudou	national highway	x	6430	
sentā	centre	x	6124	
$ten	spot		6048	xx usually part of names
eki	station	x	5907	
yuubin	post	x	5855	
$kyou	today		5723	xx also 'capital'
hoikuen	nursery school	x	4712	
shi	city	x	4656	xx also 'city'
youchien	kindergarten	x	4569	
$mae	in front of		4445	xx just remove in the translation??
$dou	house		4220	xx also temple, shrine
keisatsu	police	x	4123	
teishajou	depot	x	3846	xx also 'taxi stand'
$ni	two		3797	
$san	three		3704	
sawa	swamp	x	3673	xx also 'valley', 'river'
$jou	lock		3600	
byouin	hospital	x	3562	
chuugakkou	junior high school	x	3426	
iriguchi	entrance	x	3396	
$ichi	one		3381	xx also 'market'
$ya	arrow		3350	
toukyou	tokyo	x	3305	
$kan	kan		3290	
$kai	buying		3199	
doori	road	x	3167	xx also 'avenue', 'street'
$biru	multi-floor building		3088	xx usually part of names
gakkou	school	x	2988	
chuuou	centre	x	2976	
minami	south	x	2909	
kaidou	highway	x	2900	xx also 'church'
jidou	children	x	2893	xx also 'automatic'
fukushi	welfare	x	2874	
$ken	prefecture		2685	xx also 'ticket'
kouban	police box	x	2615	
en	garden	x	2586	xx also 'park', 'yen'
$shin	new		2576	xx also 'truth', 'reality'
kita	north	x	2490	
higashi	east	x	2388	
douro	road	x	2162	
jinja	shrine	x	2094	shinto shrine
$shien	support		2031	
nishi	west	x	1995	
$ke	hair		1939	xx also house, family
koutou	high	x	1916	used in high school (koutou gakkou)
ka	department	x	1904	xx also section, faculty, lesson, addition, mosquito
baipasu	bypass	x	1900	
kaigo	nursing	x	1837	
roujin	senior	x	1770	the aged
chuusha	parking	x	1740	
zaitaku	being in		1678	
sougou	synthesis		1671	
$kuritsu	established by the ward		1633	
$go	five		1602	
$ki	next		1596	
$shika	deer		1588	
$tou	to ask		1578	
shakai	society		1549	
danchi	multi-unit apartments		1520	
houjin	national	x	1464	japanese national
shoubousho	fire station	x	1434	
chiba	market		1378	
chuuzai	residence	x	1352	
jitensha	bicycle	x	1334	
yon	four		1303	
iin	clinic	x	1297	also doctor's office
chouritsu			1285	
toshokan	library	x	1281	
zen	small dining table		1271	
gousen	synthetic fiber		1258	
yuuen	playground	x	1252	
to	capital		1252	
kou	to beg		1243	
yakkyoku	pharmacy	x	1242	
sha	house	x	1240	also hut
michi	not yet known		1223	
in	rhyme		1214	
hōmu	home	x	1210	
jidousha	automobile	x	1186	
kenritsu	prefectural	x	1183	
kaikan	opening a hall for that day's business		1175	
mori	peak		1155	
kyuu	nine		1145	
kurinikku	clinic	x	1144	
shou	prize		1130	
sou	to meet		1107	
hoiku	nursing	x	1096	
goutou	robber		1067	
sakura	cherry tree		1057	
fuji	wisteria		1028	
tera	temple	x	1019	
ekimae	station front	x	1015	in front of station
jimusho	office	x	982	
ko	child		966	
oka	hill		966	
chi	earth		942	
sato	japanese league		941	
ku	ward	x	937	
roku	six		928	
tama	ball		926	
yougo	nursing	x	922	
shitsu	quality		916	
kanjou	annulation		891	
ie	no		863	
gakuen	academy	x	859	
rain	line		839	
sebun	seven	x	826	
kouiki	wide area		814	
irebun	eleven		808	
hachi	bee		802	
asahi	morning sun		799	
rindou	path through forest		794	
shucchousho	branch office		792	
kantou	fighting bravely		784	
atsugi	wearing thick clothes		768	
hana	nose		751	
shoubou	fire department	x	748	
o	tail		735	
wa	sum		734	
hiroba	plaza	x	725	also square
men	face		715	
arai	coarse		713	
shiten	opinion		705	
midori	green		704	
ta	rice field		703	
nippon	japan	x	695	
tokubetsu	special		688	
yamato	yamato		686	
ma	demon		685	
juutaku	residence	x	683	
oume	unripe plum		681	
pāku	park	x	680	
sa	difference		672	
ga	stroke		667	
yu	hot water		658	
mi	sixth sign of chinese zodiac		657	
goukan			654	
sushi	sushi		652	
fureai	contact		652	
fujimi	invulnerability		640	
takasaki			639	
tani	valley	x	638	
ogawa	streamlet	x	633	
hachiouji			632	
chuu	annotation		630	
mura	uneven		617	
sei	height		616	
izumi	spring	x	614	
fuchuu			607	
ueda	high rice field		606	
tonneru	tunnel	x	597	
shiyakusho	municipal office	x	592	
juu	gun		592	
ro	dew		588	
i	medicine		576	
bu	department		571	
oota			567	
fujisawa			566	
kodomo	child		565	
koukou	senior high school	x	563	
nishiguchi	west entrance	x	553	
jouetsu	area on japan sea side of japan, including niigata		551	
toritsu	metropolitan		546	
nana	seven		543	
kyoukai	church	x	541	also society, association
ginkou	bank	x	540	
n			535	
ikoi	rest		535	
kikou	setting to work		534	
kawaguchi	mouth of river		533	
shouten	focus		530	
sawakawa			530	
kiyoshi			528	
hausu	house	x	527	
sagamihara			527	
basu	bus	x	526	
intā	interchange	x	526	
funabashi	bridge	x	525	pontoon bridge
sakae			517	
bunka	literary course		515	
kawagoe			514	
oomiya			513	
ban	10		511	
tokorozawa			510	
inari	inari		505	
famirīmāto	family mart	x	504	
ryou	command		503	
tamagawa			501	
iwaki			500	
machida			500	
shinjuku			498	
ra			496	
shimin	citizen		494	
haitsu	heights	x	492	
ooi	many		491	
hi	yang		488	
toshi	year		486	
seki	one's family register		485	
kawa	skin		476	
tonegawa			476	
ina	no		475	
hoken	insurance		475	
keitou	relieving the  pitcher		475	
daigaku	university	x	474	post-secondary education institution, incl. university, college, etc.
kinen	commemoration		473	
koufu	official proclamation		470	
gurīn	green	x	469	
kamakura	mid-january festival in northern japan, with snow huts in which children play house		469	
shouka	fire fighting	x	467	
toumeikousokudouro			463	
guchi	idle complaint		459	
shibuya			459	
itoigawa			458	
fujikawa			456	
kendou	prefectural road	x	456	
hara	abdomen		455	
shijou	in a magazine		455	
na	name		454	
